Link Record ID#,Campaign Type,Campaign - Initiative - Page Name,Campaign  Name - Look up,Campaign Name,Link URL,Link Domain,Original URL,Page Rank - URL,Page Rank - Domain,Anchor Text,Anchor Text Type,Inbound URL,Inbound URL Type,Link Location,Date Reported,Date T1 Sent,Link Type,Customer Name,Related Campaign,ULD,Campaign - Initiative Record ID# - Marketing Project - Page Type,Campaign - Email Marketing Actual Send Out Date
6162,RMI,V2 Web Hosting,REV_Webhosting_S39EditTest,REV_Webhosting_S39EditTest,http://notgoddess.com/resources/web-hosting,notgoddess.com,,0,0,http://www.reviews.com/web-hosting/,URL,http://www.reviews.com/web-hosting/,internal,middle,08-04-2016,06-23-2016,Misc,Reviews.com,4853,,Vertical Review,06-23-2016
6163,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_B_S39FB,TSD_DisabiltiesCalc_B_S39FB,http://www.crockettlibrary.com/helpful-links/,http://www.crockettlibrary.com,http://www.crockettlibrary.com/helpful_links.htm,0,4,Social Security Disability Benefits Guide,Misc,thesimpledollar.com/disability-benefits-guide,Internal,Middle,08-05-2016,07-08-2016,Libraries,TheSimpleDollar.com,4851,Y,TSD Volume,06-23-2016
6164,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_B_S39FB,TSD_DisabiltiesCalc_B_S39FB,http://www.crockettlibrary.com/helpful-links/,http://www.crockettlibrary.com,http://www.crockettlibrary.com/helpful_links.htm,0,4,Social Security Disability Benefit Calculator,Misc,.thesimpledollar.com/disability-benefits-guide/#social-security-disability-benefit-calculator,Internal,Middle,08-05-2016,07-08-2016,Libraries,TheSimpleDollar.com,4851,,TSD Volume,06-23-2016
6165,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_D_S39FB,TSD_DisabiltiesCalc_D_S39FB,http://www.getfittemple.com/get-nutrition/healthy-habits/,http://www.getfittemple.com,,0,0,Image,Misc,thesimpledollar.com/disability-benefits-guide,Internal,Bottom,08-05-2016,07-08-2016,Misc,TheSimpleDollar.com,4910,Y,TSD Volume,07-08-2016
6166,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_D_S39FB,TSD_DisabiltiesCalc_D_S39FB,http://www.bircofwi.org/b.i.r.d..html,http://www.bircofwi.org,http://www.bircofwi.org/b.html,0,0,<link>,Misc,thesimpledollar.com/disability-benefits-guide,Internal,Bottom,08-05-2016,07-08-2016,Organization,Thesimpledollar.com,4910,Y,TSD Volume,07-08-2016
6167,RMI,Home Financing Guide,TSD_HomeFinancingGuide,TSD_HomeFinancingGuide,http://www.eastnashvilleagent.com/blog/,http://www.eastnashvilleagent.com,http://www.eastnashvilleagent.com/buyer-resources,0,0,http://www.thesimpledollar.com/home-financing-guide/#should-i-buy-or-rent-some-examples-to-consider,URL,thesimpledollar.com/home-financing-guide/#should-i-buy-or-rent-some-examples-to-consider,Internal,Middle,08-05-2016,04-04-2016,Misc,TheSimpleDollar.com,4852,Y,TSD Topical Authority - Loans,06-17-2016
6168,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_D_S39FB,TSD_DisabiltiesCalc_D_S39FB,http://www.esrdnetwork.org/our-network/news,http://www.esrdnetwork.org,http://esrdnetwork.org/patients-families/making-choices/choosing-a-facility/,0,0,Social Security Disability Benefits Guide,Partial,thesimpledollar.com/disability-benefits-guide,Internal,Top,08-05-2016,07-08-2016,Organization,Thesimpledollar.com,4910,Y,TSD Volume,07-08-2016
6169,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_D_S39FB,TSD_DisabiltiesCalc_D_S39FB,http://www.esrdnetwork.org/our-network/news,http://www.esrdnetwork.org,http://esrdnetwork.org/patients-families/making-choices/choosing-a-facility/,0,0,Social Security Disability Benefit Calculator,Partial,thesimpledollar.com/disability-benefits-guide/#social-security-disability-benefit-calculator,Internal,Top,08-05-2016,07-08-2016,Organization,Thesimpledollar.com,4910,,TSD Volume,07-08-2016
6170,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_B_S39FB,TSD_DisabiltiesCalc_B_S39FB,www.ucpclass.org/services/resources/links#sthash.DTHgR8vg.dpbs,www.ucpclass.org/services/resources/links#sthash.DTHgR8vg.dpbs,http://www.classcommunity.org/resources/helpful-links-class-community,0,0,http://www.thesimpledollar.com/disability-benefits-guide/#sthash.V8FSVbaR.dpuf,URL,thesimpledollar.com/disability-benefits-guide,Internal,Middle,08-05-2016,02-03-2016,Organization,Thesimpledollar.com,4851,Y,TSD Volume,06-23-2016
6171,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_B_S39FB,TSD_DisabiltiesCalc_B_S39FB,http://www.southark.co/student-services/student-success-services/disability-support-services,http://www.southark.co,http://www.southark.edu/student-services/student-success-services/counseling,0,5,Simple Dollar Disability Benefits Guide,Partial,thesimpledollar.com/disability-benefits-guide,Internal,Middle,08-05-2016,02-03-2016,.EDU,TheSimpleDollar.com,4851,Y,TSD Volume,06-23-2016
6172,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_C_S39FB,TSD_DisabiltiesCalc_C_S39FB,http://www.pierwi.info/transition.html,http://www.pierwi.info,http://www.pierwi.info/behavioral-resources.html,0,0,http://www.thesimpledollar.com/disability-benefits-guide/,URL,thesimpledollar.com/disability-benefits-guide,Internal,Middle,08-05-2016,06-30-2016,Organization,Thesimpledollar.com,4877,Y,TSD Volume,06-30-2016
6173,RMI,Disability Benefit Guide,TSD_DisabiltiesCalc_A,TSD_DisabiltiesCalc_A,https://www.stannscommunity.com/about/links/?cID=964#.V6T8Yfm7hlI,https://www.stannscommunity.com,https://www.stannscommunity.com/about/links/#.VhuTlfmqqko,0,0,Social Security Disibility Benefits Guide,Partial,thesimpledollar.com/disability-benefits-guide,Internal,Bottom,08-05-2016,06-17-2016,Misc,Thesimpledollar.com,4850,Y,TSD Volume,06-16-2016
